X,Y
1,3.07240381
2,1.106737196
3,-2.221304887
4,-4.26410064
5,-3.423606744
6,-8.277654547
7,-9.269841552
8,-10.74975309
9,-12.93520433
10,-15.20112077
11,-15.91303766
12,-18.3461636
13,-21.43894106
14,-23.68184859
15,-26.49571723
16,-27.69611999
17,-29.01736696
18,-32.0595016
19,-31.81576485
20,-36.23902932
21,-35.98037301
22,-38.84251577
23,-40.01255604
24,-44.73043333
25,-44.73785735
26,-47.11382163
27,-49.0311969
28,-50.40240039
29,-51.21648758
30,-55.39768498
31,-57.05725081
32,-59.77030006
33,-60.79175751
34,-61.84538004
35,-64.26335419
36,-66.52567544
37,-68.82195915
38,-70.86216534
39,-72.5590755
40,-74.75041391
41,-76.87239617
42,-77.00239705
43,-81.79123603
44,-83.00165933
45,-86.29246166
46,-87.27527816
47,-88.77576629
48,-91.25234623
49,-89.94144208
50,-93.65479754
51,-96.4289279
52,-99.41209786
53,-101.3678208
54,-102.8154944
55,-103.6225184
56,-104.4538968
57,-109.2000292
58,-110.6085155
59,-112.7526125
60,-114.7894933
61,-116.9784046
62,-119.0544632
63,-122.1865248
64,-124.4767293
65,-124.2151156
66,-126.2497711
67,-129.1641241
68,-131.6067644
69,-132.5026157
70,-135.8525478
71,-138.3488619
72,-138.3564986
73,-139.0504385
74,-142.272287
75,-143.2652729
76,-144.7995829
77,-148.2899867
78,-149.9135826
79,-152.4342054
80,-154.5967371
81,-155.4231381
82,-159.2017192
83,-158.7408868
84,-161.1561085
85,-164.7400583
86,-167.4695669
87,-168.1717117
88,-170.0006966
89,-172.8046522
90,-176.33313
91,-176.0450364
92,-179.4353004
93,-182.5790507
94,-182.860134
95,-186.5093464
96,-188.250935
97,-187.3767454
98,-189.1274678
99,-195.1235494
100,-195.8618798
101,-195.8633962
102,-199.4620329
103,-202.2984968
104,-201.799086
105,-205.9258827
106,-207.0098656
107,-209.7111323
108,-210.3916391
109,-211.7611942
110,-214.0875461
111,-215.5573216
112,-218.9378914
113,-222.0582175
114,-224.8404626
115,-225.4409993
116,-226.0848105
117,-228.4481354
118,-230.0437325
119,-233.7574539
120,-233.8808448
121,-235.6894558
122,-237.6015211
123,-242.46545
124,-244.2327416
125,-244.7365718
126,-247.7853125
127,-248.315479
128,-251.2423534
129,-253.3482755
130,-253.6065102
131,-257.2340835
132,-258.9354788
133,-262.2819492
134,-263.252994
135,-264.425542
136,-267.2870573
137,-268.249089
138,-269.3178769
139,-274.0831607
140,-275.3476453
141,-276.5751798
142,-281.43808
143,-280.3528723
144,-283.5698185
145,-284.6416252
146,-286.8342317
147,-288.1758422
148,-292.0630563
149,-294.8382185
150,-295.2164987
151,-298.7735273
152,-299.0641102
153,-301.3380721
154,-301.4480024
155,-305.2434264
156,-308.0717572
157,-310.2401581
158,-311.7536799
159,-311.9080697
160,-315.3647735
161,-317.8208647
162,-320.4719365
163,-321.4194627
164,-322.8692471
165,-324.7717064
166,-328.0963714
167,-330.4546766
168,-330.0332491
169,-332.4287237
170,-333.4127436
171,-337.5005799
172,-339.8376897
173,-339.2894891
174,-340.8614191
175,-345.1010593
176,-346.8410342
177,-349.9493163
178,-352.442347
179,-351.9999803
180,-357.2757827
181,-356.3243484
182,-357.9351133
183,-359.718154
184,-362.9685714
185,-364.0165412
186,-367.394553
187,-369.5118152
188,-371.175135
189,-372.8858626
190,-373.6426406
191,-375.8837572
192,-377.4402089
193,-380.7489554
194,-381.7444767
195,-384.9099728
196,-387.1029738
197,-389.3417814
198,-391.2752213
199,-392.7168911
200,-394.992253
201,-395.7599095
202,-401.2112823
203,-401.2556837
204,-403.2460758
205,-406.69666
206,-406.4883126
207,-408.9132611
208,-409.0126317
209,-412.6831665
210,-414.7905839
211,-416.9241244
212,-418.0013375
213,-420.9824052
214,-423.1856981
215,-424.1781991
216,-427.7017391
217,-427.4062727
218,-431.52955
219,-433.3768583
220,-434.2258555
221,-436.3061732
222,-439.0103
223,-442.0470764
224,-443.4690454
225,-446.0183719
226,-448.1935761
227,-448.8341842
228,-449.7462311
229,-452.6939574
230,-455.0437959
231,-454.4962734
232,-458.7583597
233,-461.4375325
234,-463.9751214
235,-464.206934
236,-468.3141763
237,-467.8449904
238,-469.9100165
239,-471.6487484
240,-475.5607499
241,-477.8054446
242,-479.1621205
243,-482.2784777
244,-482.9047061
245,-486.5857829
246,-487.9316212
247,-488.4500561
248,-491.1934584
249,-493.316683
250,-494.0466435
251,-497.8438504
252,-497.5137718
253,-500.4044545
254,-501.5812034
255,-503.5816625
256,-506.4758874
257,-508.5746654
258,-510.976381
259,-511.5532104
260,-515.5917711
261,-517.2131877
262,-518.9494599
263,-520.8814028
264,-522.7923897
265,-525.7463269
266,-525.889971
267,-528.517322
268,-532.7634699
269,-532.690152
270,-534.8649028
271,-536.0733038
272,-538.555907
273,-540.3657759
274,-543.694592
275,-544.7140828
276,-548.5742173
277,-549.83048
278,-550.428408
279,-551.7195739
280,-554.2484085
281,-554.9817139
282,-559.9830177
283,-559.5333536
284,-563.3563053
285,-564.4110597
286,-568.7376956
287,-570.6260477
288,-570.1701461
289,-571.892124
290,-574.5205432
291,-574.5635703
292,-577.9881641
293,-581.3920259
294,-582.1829052
295,-584.9927105
296,-585.2405587
297,-589.5956598
298,-589.9348087
299,-593.5391679
300,-595.809749
301,-596.1162502
302,-598.88037
303,-600.4953953
304,-602.0309295
305,-606.5111706
306,-606.0326426
307,-609.0754224
308,-609.6943359
309,-613.3759058
310,-614.9273206
311,-617.5126854
312,-619.2068823
313,-619.1332537
314,-621.8869315
315,-625.9623926
316,-625.6423558
317,-628.4871552
318,-631.5163734
319,-632.7750941
320,-634.7928631
321,-635.8310389
322,-639.4491857
323,-641.2894885
324,-642.2189948
325,-644.7586571
326,-647.0701077
327,-648.5891811
328,-651.67624
329,-653.3173606
330,-655.6748279
331,-657.1330291
332,-659.2099077
333,-660.5797033
334,-662.0799784
335,-665.662754
336,-667.4078083
337,-671.6767573
338,-670.7185507
339,-672.5426348
340,-674.8559438
341,-677.4016114
342,-677.8665575
343,-678.8165944
344,-682.4327627
345,-685.3656295
346,-688.2943906
347,-686.6604848
348,-690.9818362
349,-691.6100758
350,-694.4807759
351,-697.7804772
352,-696.1781254
353,-701.2912759
354,-703.9613096
355,-704.60682
356,-706.2597362
357,-708.9984738
358,-710.6546819
359,-714.2730611
360,-714.6869584
361,-717.2872797
362,-719.7429258
363,-719.6879449
364,-722.7641479
365,-724.284707
366,-727.9936592
367,-729.6336365
368,-731.1912488
369,-733.4961867
370,-735.4435489
371,-737.4621862
372,-738.1607594
373,-740.1070894
374,-743.7040003
375,-743.6337984
376,-747.5495547
377,-747.8185382
378,-751.2483969
379,-751.2754346
380,-755.9330388
381,-757.8979494
382,-760.0145451
383,-761.077698
384,-764.2524136
385,-764.8952253
386,-767.3192176
387,-768.3712844
388,-772.2883807
389,-773.4759155
390,-774.9376106
391,-776.8134357
392,-778.9799342
393,-781.2962235
394,-783.6154588
395,-786.2040318
396,-786.415458
397,-789.1100346
398,-790.0108595
399,-791.4654294
400,-794.9488208
401,-796.5077307
402,-799.2288965
403,-801.7945265
404,-802.2703242
405,-806.225399
406,-806.1568908
407,-808.7470316
408,-812.2332292
409,-812.4380899
410,-815.8691479
411,-817.0697695
412,-819.8195466
413,-820.337762
414,-824.3679567
415,-825.9153027
416,-825.2190461
417,-830.0448678
418,-831.523512
419,-833.3577725
420,-834.8003746
421,-835.448736
422,-839.1789327
423,-841.4521698
424,-842.7674884
425,-845.6904467
426,-846.2613623
427,-848.8756409
428,-851.956445
429,-852.2473446
430,-854.7878249
431,-857.2666586
432,-860.0140382
433,-859.698488
434,-863.1529127
435,-864.8250804
436,-866.0639264
437,-868.8123339
438,-871.5360964
439,-871.8950584
440,-875.4931477
441,-877.0153215
442,-879.0532148
443,-880.3933623
444,-884.0556569
445,-884.1367493
446,-886.7383772
447,-890.5443805
448,-891.2389774
449,-892.7350281
450,-896.0153777
451,-897.6050207
452,-898.3602383
453,-901.5721141
454,-903.0105748
455,-905.6404818
456,-905.6908552
457,-910.6026538
458,-911.6902504
459,-914.4523212
460,-914.2479835
461,-915.9161575
462,-921.0316953
463,-921.181209
464,-922.5422281
465,-924.9789301
466,-927.579592
467,-927.6172872
468,-931.3694585
469,-931.3689284
470,-932.6635246
471,-937.5191858
472,-939.5156686
473,-940.4885022
474,-943.0511269
475,-943.3275692
476,-946.913876
477,-948.5348471
478,-950.1702778
479,-953.3876558
480,-953.1913426
481,-955.9360058
482,-960.8082154
483,-962.4754402
484,-962.6754053
485,-964.3077631
486,-967.5096794
487,-969.6937317
488,-971.3756774
489,-974.3245781
490,-973.8880083
491,-976.2819013
492,-979.0370528
493,-981.7948305
494,-984.0775327
495,-983.5647592
496,-988.7391379
497,-989.4900476
498,-991.4747212
499,-993.0388177
500,-995.4784671
501,-997.8578891
502,-998.3944943
503,-1000.775882
504,-1002.263462
505,-1005.637701
506,-1007.892869
507,-1009.742668
508,-1009.608084
509,-1014.892605
510,-1013.731159
511,-1015.813508
512,-1019.771608
513,-1021.210111
514,-1022.606756
515,-1027.43678
516,-1025.533953
517,-1028.235108
518,-1029.358061
519,-1033.180808
520,-1035.018862
521,-1036.994286
522,-1040.308074
523,-1043.369308
524,-1042.344779
525,-1045.323767
526,-1047.485607
527,-1049.185991
528,-1049.952216
529,-1051.870282
530,-1055.181054
531,-1058.610854
532,-1059.519317
533,-1060.390882
534,-1063.858502
535,-1065.932286
536,-1067.307324
537,-1069.34807
538,-1071.233454
539,-1073.226545
540,-1074.619376
541,-1076.621017
542,-1079.982963
543,-1080.801072
544,-1083.319586
545,-1084.801898
546,-1088.32022
547,-1089.96568
548,-1091.39065
549,-1094.52195
550,-1095.841701
551,-1096.006032
552,-1098.922837
553,-1099.451082
554,-1103.901899
555,-1105.166713
556,-1104.92038
557,-1108.856653
558,-1110.829942
559,-1113.118488
560,-1116.215215
561,-1114.831763
562,-1117.754845
563,-1120.770858
564,-1123.768822
565,-1126.045973
566,-1127.466087
567,-1130.21506
568,-1131.448724
569,-1132.919291
570,-1135.313853
571,-1137.659982
572,-1139.254904
573,-1141.694286
574,-1143.29356
575,-1145.431754
576,-1146.612804
577,-1148.842657
578,-1149.500708
579,-1150.319267
580,-1155.056578
581,-1159.243494
582,-1158.514706
583,-1162.076745
584,-1161.637075
585,-1165.178619
586,-1166.818813
587,-1167.973739
588,-1169.927619
589,-1174.084853
590,-1174.254167
591,-1177.011399
592,-1179.69683
593,-1181.101553
594,-1182.149692
595,-1185.334951
596,-1186.453826
597,-1188.450147
598,-1191.356794
599,-1191.158485
600,-1193.839408
601,-1196.104042
602,-1201.197722
603,-1201.208692
604,-1203.047545
605,-1204.107434
606,-1205.864024
607,-1208.424726
608,-1212.739679
609,-1213.522045
610,-1216.457418
611,-1217.01718
612,-1220.131328
613,-1220.934976
614,-1224.428117
615,-1224.117432
616,-1226.191311
617,-1229.977606
618,-1230.565959
619,-1231.729327
620,-1236.433533
621,-1237.512577
622,-1238.603737
623,-1240.640023
624,-1242.361265
625,-1245.912069
626,-1247.441148
627,-1251.125919
628,-1250.85968
629,-1255.996506
630,-1255.584565
